Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US250010101001,250010101001,"Block Group 1, Census Tract 101, Barnstable County, Massachusetts",998,193,858,152,0,12,8,14,22,35,0,12,45,68,65,69,43,66,22,23
1500000US250010101002,250010101002,"Block Group 2, Census Tract 101, Barnstable County, Massachusetts",314,105,262,83,16,27,0,12,11,15,0,12,0,12,25,43,0,12,25,43
1500000US250010101003,250010101003,"Block Group 3, Census Tract 101, Barnstable County, Massachusetts",750,182,703,173,24,39,0,12,10,17,0,12,0,12,13,22,0,12,13,22
1500000US250010101004,250010101004,"Block Group 4, Census Tract 101, Barnstable County, Massachusetts",500,156,428,158,10,13,0,12,5,9,0,12,0,12,57,76,0,12,57,76
1500000US250010101005,250010101005,"Block Group 5, Census Tract 101, Barnstable County, Massachusetts",390,112,366,107,0,12,0,12,0,12,0,12,0,12,24,29,0,12,24,29
1500000US250010102061,250010102061,"Block Group 1, Census Tract 102.06, Barnstable County, Massachusetts",669,263,623,246,34,48,0,12,12,18,0,12,0,12,0,12,0,12,0,12
1500000US250010102062,250010102062,"Block Group 2, Census Tract 102.06, Barnstable County, Massachusetts",1247,287,1101,262,27,27,0,12,13,19,0,12,0,12,106,64,9,13,97,61
1500000US250010102063,250010102063,"Block Group 3, Census Tract 102.06, Barnstable County, Massachusetts",1255,329,1164,300,9,14,0,12,82,83,0,12,0,12,0,12,0,12,0,12
1500000US250010102081,250010102081,"Block Group 1, Census Tract 102.08, Barnstable County, Massachusetts",494,189,493,189,0,12,0,12,0,12,0,12,0,12,1,4,0,12,1,4
1500000US250010102082,250010102082,"Block Group 2, Census Tract 102.08, Barnstable County, Massachusetts",588,192,588,192,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010102083,250010102083,"Block Group 3, Census Tract 102.08, Barnstable County, Massachusetts",498,191,464,181,20,32,10,17,0,12,0,12,0,12,4,7,0,12,4,7
1500000US250010103041,250010103041,"Block Group 1, Census Tract 103.04, Barnstable County, Massachusetts",1078,200,1057,197,21,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010103042,250010103042,"Block Group 2, Census Tract 103.04, Barnstable County, Massachusetts",648,166,636,165,0,12,0,12,12,19,0,12,0,12,0,12,0,12,0,12
1500000US250010103043,250010103043,"Block Group 3, Census Tract 103.04, Barnstable County, Massachusetts",606,208,506,173,0,12,0,12,100,145,0,12,0,12,0,12,0,12,0,12
1500000US250010103061,250010103061,"Block Group 1, Census Tract 103.06, Barnstable County, Massachusetts",930,222,818,218,89,102,0,12,13,19,0,12,10,17,0,12,0,12,0,12
1500000US250010103062,250010103062,"Block Group 2, Census Tract 103.06, Barnstable County, Massachusetts",957,207,879,188,0,12,0,12,0,12,0,12,33,50,45,64,0,12,45,64
1500000US250010103063,250010103063,"Block Group 3, Census Tract 103.06, Barnstable County, Massachusetts",689,222,689,222,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010104001,250010104001,"Block Group 1, Census Tract 104, Barnstable County, Massachusetts",831,237,831,237,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010104002,250010104002,"Block Group 2, Census Tract 104, Barnstable County, Massachusetts",847,197,654,158,193,135,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010104003,250010104003,"Block Group 3, Census Tract 104, Barnstable County, Massachusetts",649,286,622,281,0,12,0,12,27,48,0,12,0,12,0,12,0,12,0,12
1500000US250010104004,250010104004,"Block Group 4, Census Tract 104, Barnstable County, Massachusetts",710,217,710,217,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010105001,250010105001,"Block Group 1, Census Tract 105, Barnstable County, Massachusetts",1496,226,1473,219,0,12,0,12,0,12,0,12,23,37,0,12,0,12,0,12
1500000US250010105002,250010105002,"Block Group 2, Census Tract 105, Barnstable County, Massachusetts",496,183,496,183,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010105003,250010105003,"Block Group 3, Census Tract 105, Barnstable County, Massachusetts",798,188,784,189,5,10,0,12,0,12,0,12,9,16,0,12,0,12,0,12
1500000US250010106001,250010106001,"Block Group 1, Census Tract 106, Barnstable County, Massachusetts",554,153,554,153,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010106002,250010106002,"Block Group 2, Census Tract 106, Barnstable County, Massachusetts",956,244,956,244,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010106003,250010106003,"Block Group 3, Census Tract 106, Barnstable County, Massachusetts",1280,227,1099,186,122,96,0,12,20,32,0,12,0,12,39,37,5,8,34,36
1500000US250010106004,250010106004,"Block Group 4, Census Tract 106, Barnstable County, Massachusetts",301,112,301,112,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010107001,250010107001,"Block Group 1, Census Tract 107, Barnstable County, Massachusetts",1000,254,982,254,13,21,0,12,0,12,0,12,0,12,5,20,0,12,5,20
1500000US250010107002,250010107002,"Block Group 2, Census Tract 107, Barnstable County, Massachusetts",983,215,854,212,47,112,0,12,0,12,0,12,0,12,82,84,0,12,82,84
1500000US250010107003,250010107003,"Block Group 3, Census Tract 107, Barnstable County, Massachusetts",495,164,478,158,0,12,0,12,17,20,0,12,0,12,0,12,0,12,0,12
1500000US250010107004,250010107004,"Block Group 4, Census Tract 107, Barnstable County, Massachusetts",580,189,580,189,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010108001,250010108001,"Block Group 1, Census Tract 108, Barnstable County, Massachusetts",908,247,908,247,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010108002,250010108002,"Block Group 2, Census Tract 108, Barnstable County, Massachusetts",418,255,418,255,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010108003,250010108003,"Block Group 3, Census Tract 108, Barnstable County, Massachusetts",683,238,646,223,37,54,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010108004,250010108004,"Block Group 4, Census Tract 108, Barnstable County, Massachusetts",784,301,778,297,6,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010108005,250010108005,"Block Group 5, Census Tract 108, Barnstable County, Massachusetts",1941,385,1898,389,0,12,0,12,0,12,0,12,0,12,43,55,0,12,43,55
1500000US250010109001,250010109001,"Block Group 1, Census Tract 109, Barnstable County, Massachusetts",1781,283,1695,277,24,37,0,12,0,12,0,12,6,16,56,54,0,12,56,54
1500000US250010109002,250010109002,"Block Group 2, Census Tract 109, Barnstable County, Massachusetts",1096,316,1025,319,0,12,0,12,42,61,29,44,0,12,0,12,0,12,0,12
1500000US250010109003,250010109003,"Block Group 3, Census Tract 109, Barnstable County, Massachusetts",1436,405,1436,405,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010109004,250010109004,"Block Group 4, Census Tract 109, Barnstable County, Massachusetts",809,269,790,273,0,12,0,12,19,31,0,12,0,12,0,12,0,12,0,12
1500000US250010110021,250010110021,"Block Group 1, Census Tract 110.02, Barnstable County, Massachusetts",576,142,576,142,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010110022,250010110022,"Block Group 2, Census Tract 110.02, Barnstable County, Massachusetts",686,160,667,154,12,22,0,12,0,12,0,12,7,12,0,12,0,12,0,12
1500000US250010110023,250010110023,"Block Group 3, Census Tract 110.02, Barnstable County, Massachusetts",531,166,531,166,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010110024,250010110024,"Block Group 4, Census Tract 110.02, Barnstable County, Massachusetts",2268,358,2040,363,11,15,0,12,0,12,0,12,137,113,80,64,19,31,61,50
1500000US250010111001,250010111001,"Block Group 1, Census Tract 111, Barnstable County, Massachusetts",999,274,984,278,0,12,15,26,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010111002,250010111002,"Block Group 2, Census Tract 111, Barnstable County, Massachusetts",1206,348,1106,353,0,12,0,12,100,86,0,12,0,12,0,12,0,12,0,12
1500000US250010111003,250010111003,"Block Group 3, Census Tract 111, Barnstable County, Massachusetts",1569,378,1531,378,0,12,0,12,38,42,0,12,0,12,0,12,0,12,0,12
1500000US250010111004,250010111004,"Block Group 4, Census Tract 111, Barnstable County, Massachusetts",868,260,839,258,14,23,0,12,0,12,15,24,0,12,0,12,0,12,0,12
1500000US250010112001,250010112001,"Block Group 1, Census Tract 112, Barnstable County, Massachusetts",940,202,940,202,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010112002,250010112002,"Block Group 2, Census Tract 112, Barnstable County, Massachusetts",1451,217,1196,189,201,166,0,12,0,12,0,12,11,20,43,46,0,12,43,46
1500000US250010112003,250010112003,"Block Group 3, Census Tract 112, Barnstable County, Massachusetts",406,126,396,127,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12
1500000US250010112004,250010112004,"Block Group 4, Census Tract 112, Barnstable County, Massachusetts",643,201,616,187,0,12,0,12,0,12,0,12,0,12,27,47,0,12,27,47
1500000US250010113001,250010113001,"Block Group 1, Census Tract 113, Barnstable County, Massachusetts",821,240,821,240,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010113002,250010113002,"Block Group 2, Census Tract 113, Barnstable County, Massachusetts",1105,187,1071,182,0,12,0,12,34,38,0,12,0,12,0,12,0,12,0,12
1500000US250010113003,250010113003,"Block Group 3, Census Tract 113, Barnstable County, Massachusetts",557,165,557,165,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010114001,250010114001,"Block Group 1, Census Tract 114, Barnstable County, Massachusetts",800,160,800,160,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010114002,250010114002,"Block Group 2, Census Tract 114, Barnstable County, Massachusetts",1119,259,1119,259,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010114003,250010114003,"Block Group 3, Census Tract 114, Barnstable County, Massachusetts",188,109,188,109,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010114004,250010114004,"Block Group 4, Census Tract 114, Barnstable County, Massachusetts",964,250,780,226,0,12,0,12,59,108,0,12,115,154,10,17,0,12,10,17
1500000US250010115001,250010115001,"Block Group 1, Census Tract 115, Barnstable County, Massachusetts",839,251,615,218,175,201,0,12,19,29,0,12,0,12,30,41,0,12,30,41
1500000US250010115002,250010115002,"Block Group 2, Census Tract 115, Barnstable County, Massachusetts",793,181,793,181,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010115003,250010115003,"Block Group 3, Census Tract 115, Barnstable County, Massachusetts",542,150,463,132,28,46,0,12,8,13,0,12,24,35,19,29,19,29,0,12
1500000US250010115004,250010115004,"Block Group 4, Census Tract 115, Barnstable County, Massachusetts",821,234,780,240,14,24,0,12,0,12,0,12,12,20,15,24,0,12,15,24
1500000US250010115005,250010115005,"Block Group 5, Census Tract 115, Barnstable County, Massachusetts",950,216,743,176,91,101,0,12,85,127,0,12,0,12,31,51,0,12,31,51
1500000US250010116001,250010116001,"Block Group 1, Census Tract 116, Barnstable County, Massachusetts",1532,348,1300,342,189,176,0,12,0,12,0,12,11,17,32,51,0,12,32,51
1500000US250010116002,250010116002,"Block Group 2, Census Tract 116, Barnstable County, Massachusetts",650,342,632,341,0,12,0,12,0,12,0,12,0,12,18,31,18,31,0,12
1500000US250010116003,250010116003,"Block Group 3, Census Tract 116, Barnstable County, Massachusetts",579,180,579,180,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010117001,250010117001,"Block Group 1, Census Tract 117, Barnstable County, Massachusetts",641,116,611,106,9,13,0,12,0,12,0,12,21,22,0,12,0,12,0,12
1500000US250010117002,250010117002,"Block Group 2, Census Tract 117, Barnstable County, Massachusetts",428,102,420,101,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12
1500000US250010117003,250010117003,"Block Group 3, Census Tract 117, Barnstable County, Massachusetts",663,150,614,143,13,22,0,12,0,12,0,12,0,12,36,48,7,12,29,45
1500000US250010118011,250010118011,"Block Group 1, Census Tract 118.01, Barnstable County, Massachusetts",1410,183,1301,186,0,12,0,12,109,103,0,12,0,12,0,12,0,12,0,12
1500000US250010118012,250010118012,"Block Group 2, Census Tract 118.01, Barnstable County, Massachusetts",1001,180,950,142,0,12,0,12,51,79,0,12,0,12,0,12,0,12,0,12
1500000US250010118021,250010118021,"Block Group 1, Census Tract 118.02, Barnstable County, Massachusetts",839,231,793,224,21,25,0,12,0,12,0,12,0,12,25,40,0,12,25,40
1500000US250010118022,250010118022,"Block Group 2, Census Tract 118.02, Barnstable County, Massachusetts",584,208,584,208,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010118023,250010118023,"Block Group 3, Census Tract 118.02, Barnstable County, Massachusetts",1428,376,1364,378,0,12,0,12,48,51,0,12,7,10,9,15,0,12,9,15
1500000US250010118024,250010118024,"Block Group 4, Census Tract 118.02, Barnstable County, Massachusetts",1142,259,1048,269,17,24,0,12,0,12,0,12,0,12,77,78,0,12,77,78
1500000US250010120011,250010120011,"Block Group 1, Census Tract 120.01, Barnstable County, Massachusetts",1262,273,1244,260,0,12,0,12,0,12,0,12,0,12,18,29,18,29,0,12
1500000US250010120012,250010120012,"Block Group 2, Census Tract 120.01, Barnstable County, Massachusetts",2114,544,2108,542,6,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010120013,250010120013,"Block Group 3, Census Tract 120.01, Barnstable County, Massachusetts",818,234,790,237,0,12,0,12,28,42,0,12,0,12,0,12,0,12,0,12
1500000US250010120014,250010120014,"Block Group 4, Census Tract 120.01, Barnstable County, Massachusetts",1569,488,1497,496,2,4,0,12,0,12,0,12,15,25,55,84,0,12,55,84
1500000US250010120021,250010120021,"Block Group 1, Census Tract 120.02, Barnstable County, Massachusetts",1219,342,988,270,29,40,0,12,0,12,0,12,117,127,85,80,24,35,61,71
1500000US250010120022,250010120022,"Block Group 2, Census Tract 120.02, Barnstable County, Massachusetts",909,223,836,198,2,4,0,12,52,73,0,12,18,27,1,3,0,12,1,3
1500000US250010120023,250010120023,"Block Group 3, Census Tract 120.02, Barnstable County, Massachusetts",767,325,767,325,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010121011,250010121011,"Block Group 1, Census Tract 121.01, Barnstable County, Massachusetts",1686,458,1461,441,116,174,0,12,65,96,0,12,32,48,12,31,0,12,12,31
1500000US250010121012,250010121012,"Block Group 2, Census Tract 121.01, Barnstable County, Massachusetts",1043,348,1026,346,0,12,0,12,0,12,0,12,0,12,17,27,0,12,17,27
1500000US250010121013,250010121013,"Block Group 3, Census Tract 121.01, Barnstable County, Massachusetts",1138,318,1078,304,60,96,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010121014,250010121014,"Block Group 4, Census Tract 121.01, Barnstable County, Massachusetts",680,304,580,311,100,94,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010121015,250010121015,"Block Group 5, Census Tract 121.01, Barnstable County, Massachusetts",865,234,865,234,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010121021,250010121021,"Block Group 1, Census Tract 121.02, Barnstable County, Massachusetts",809,202,711,183,0,12,0,12,89,123,0,12,9,13,0,12,0,12,0,12
1500000US250010121022,250010121022,"Block Group 2, Census Tract 121.02, Barnstable County, Massachusetts",648,221,519,157,92,105,0,12,0,12,0,12,0,12,37,58,0,12,37,58
1500000US250010121023,250010121023,"Block Group 3, Census Tract 121.02, Barnstable County, Massachusetts",629,149,569,139,0,12,0,12,19,21,0,12,0,12,41,57,0,12,41,57
1500000US250010121024,250010121024,"Block Group 4, Census Tract 121.02, Barnstable County, Massachusetts",899,193,810,171,9,27,0,12,20,32,0,12,18,27,42,54,0,12,42,54
1500000US250010122001,250010122001,"Block Group 1, Census Tract 122, Barnstable County, Massachusetts",1418,409,1346,403,46,73,0,12,26,36,0,12,0,12,0,12,0,12,0,12
1500000US250010122002,250010122002,"Block Group 2, Census Tract 122, Barnstable County, Massachusetts",924,253,923,253,1,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010122003,250010122003,"Block Group 3, Census Tract 122, Barnstable County, Massachusetts",1936,432,1847,410,62,77,0,12,0,12,0,12,0,12,27,40,0,12,27,40
1500000US250010122004,250010122004,"Block Group 4, Census Tract 122, Barnstable County, Massachusetts",655,318,655,318,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010125021,250010125021,"Block Group 1, Census Tract 125.02, Barnstable County, Massachusetts",687,255,645,247,0,12,0,12,0,12,0,12,42,65,0,12,0,12,0,12
1500000US250010125022,250010125022,"Block Group 2, Census Tract 125.02, Barnstable County, Massachusetts",1226,380,1039,336,38,37,0,12,60,86,0,12,0,12,89,104,3,7,86,103
1500000US250010125023,250010125023,"Block Group 3, Census Tract 125.02, Barnstable County, Massachusetts",830,251,815,250,0,12,0,12,15,26,0,12,0,12,0,12,0,12,0,12
1500000US250010125024,250010125024,"Block Group 4, Census Tract 125.02, Barnstable County, Massachusetts",975,368,761,389,175,122,0,12,0,12,0,12,39,42,0,12,0,12,0,12
1500000US250010126011,250010126011,"Block Group 1, Census Tract 126.01, Barnstable County, Massachusetts",2080,264,1775,241,145,119,29,47,0,12,0,12,37,38,94,87,15,25,79,83
1500000US250010126012,250010126012,"Block Group 2, Census Tract 126.01, Barnstable County, Massachusetts",1116,245,828,229,76,127,0,12,0,12,0,12,150,177,62,58,28,44,34,39
1500000US250010126021,250010126021,"Block Group 1, Census Tract 126.02, Barnstable County, Massachusetts",1793,539,1511,500,201,220,0,12,0,12,0,12,15,24,66,98,0,12,66,98
1500000US250010126022,250010126022,"Block Group 2, Census Tract 126.02, Barnstable County, Massachusetts",1226,570,879,420,347,442,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010126023,250010126023,"Block Group 3, Census Tract 126.02, Barnstable County, Massachusetts",1158,370,891,312,267,309,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010126024,250010126024,"Block Group 4, Census Tract 126.02, Barnstable County, Massachusetts",743,254,506,227,53,48,0,12,28,50,133,86,23,41,0,12,0,12,0,12
1500000US250010127001,250010127001,"Block Group 1, Census Tract 127, Barnstable County, Massachusetts",1255,326,1210,338,0,12,0,12,0,12,0,12,0,12,45,123,0,12,45,123
1500000US250010127002,250010127002,"Block Group 2, Census Tract 127, Barnstable County, Massachusetts",765,208,765,208,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010127003,250010127003,"Block Group 3, Census Tract 127, Barnstable County, Massachusetts",659,203,659,203,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010127004,250010127004,"Block Group 4, Census Tract 127, Barnstable County, Massachusetts",1504,400,1377,412,0,12,0,12,0,12,0,12,43,62,84,147,0,12,84,147
1500000US250010128001,250010128001,"Block Group 1, Census Tract 128, Barnstable County, Massachusetts",739,248,727,242,0,12,0,12,0,12,0,12,0,12,12,22,0,12,12,22
1500000US250010128002,250010128002,"Block Group 2, Census Tract 128, Barnstable County, Massachusetts",1322,353,1243,335,37,62,0,12,13,21,0,12,20,24,9,15,0,12,9,15
1500000US250010128003,250010128003,"Block Group 3, Census Tract 128, Barnstable County, Massachusetts",1624,280,1599,277,0,12,12,19,5,9,0,12,8,15,0,12,0,12,0,12
1500000US250010129001,250010129001,"Block Group 1, Census Tract 129, Barnstable County, Massachusetts",933,210,891,207,0,12,31,46,0,12,0,12,0,12,11,18,0,12,11,18
1500000US250010129002,250010129002,"Block Group 2, Census Tract 129, Barnstable County, Massachusetts",1289,215,1237,212,9,13,0,12,0,12,0,12,10,16,33,35,25,30,8,16
1500000US250010129003,250010129003,"Block Group 3, Census Tract 129, Barnstable County, Massachusetts",1578,190,1540,188,0,12,0,12,29,29,0,12,0,12,9,14,0,12,9,14
1500000US250010130021,250010130021,"Block Group 1, Census Tract 130.02, Barnstable County, Massachusetts",464,138,464,138,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010130022,250010130022,"Block Group 2, Census Tract 130.02, Barnstable County, Massachusetts",479,162,438,146,41,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010130023,250010130023,"Block Group 3, Census Tract 130.02, Barnstable County, Massachusetts",821,188,727,182,41,48,0,12,0,12,0,12,15,24,38,61,26,41,12,21
1500000US250010130024,250010130024,"Block Group 4, Census Tract 130.02, Barnstable County, Massachusetts",1022,177,1012,177,0,12,0,12,0,12,0,12,10,17,0,12,0,12,0,12
1500000US250010131001,250010131001,"Block Group 1, Census Tract 131, Barnstable County, Massachusetts",1090,373,1074,372,0,12,0,12,0,12,0,12,0,12,16,25,0,12,16,25
1500000US250010131002,250010131002,"Block Group 2, Census Tract 131, Barnstable County, Massachusetts",2102,385,2018,367,0,12,0,12,0,12,0,12,25,37,59,72,0,12,59,72
1500000US250010131003,250010131003,"Block Group 3, Census Tract 131, Barnstable County, Massachusetts",690,227,690,227,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010131004,250010131004,"Block Group 4, Census Tract 131, Barnstable County, Massachusetts",1292,266,1175,242,117,171,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010132001,250010132001,"Block Group 1, Census Tract 132, Barnstable County, Massachusetts",972,296,972,296,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010132002,250010132002,"Block Group 2, Census Tract 132, Barnstable County, Massachusetts",3052,345,3019,345,9,16,0,12,0,12,0,12,0,12,24,40,0,12,24,40
1500000US250010132003,250010132003,"Block Group 3, Census Tract 132, Barnstable County, Massachusetts",797,238,797,238,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010133001,250010133001,"Block Group 1, Census Tract 133, Barnstable County, Massachusetts",885,238,784,233,0,12,0,12,101,115,0,12,0,12,0,12,0,12,0,12
1500000US250010133002,250010133002,"Block Group 2, Census Tract 133, Barnstable County, Massachusetts",831,163,770,141,0,12,0,12,38,60,0,12,0,12,23,40,23,40,0,12
1500000US250010133003,250010133003,"Block Group 3, Census Tract 133, Barnstable County, Massachusetts",1507,216,1506,216,0,12,0,12,1,3,0,12,0,12,0,12,0,12,0,12
1500000US250010134001,250010134001,"Block Group 1, Census Tract 134, Barnstable County, Massachusetts",939,241,939,241,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010134002,250010134002,"Block Group 2, Census Tract 134, Barnstable County, Massachusetts",699,160,699,160,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010134003,250010134003,"Block Group 3, Census Tract 134, Barnstable County, Massachusetts",1499,255,1472,254,0,12,0,12,0,12,0,12,27,58,0,12,0,12,0,12
1500000US250010134004,250010134004,"Block Group 4, Census Tract 134, Barnstable County, Massachusetts",663,154,663,154,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010135001,250010135001,"Block Group 1, Census Tract 135, Barnstable County, Massachusetts",2313,380,2189,377,1,3,0,12,102,144,0,12,0,12,21,32,0,12,21,32
1500000US250010135002,250010135002,"Block Group 2, Census Tract 135, Barnstable County, Massachusetts",1373,393,1312,379,0,12,0,12,0,12,0,12,0,12,61,55,0,12,61,55
1500000US250010135003,250010135003,"Block Group 3, Census Tract 135, Barnstable County, Massachusetts",2386,399,2358,407,0,12,0,12,28,45,0,12,0,12,0,12,0,12,0,12
1500000US250010135004,250010135004,"Block Group 4, Census Tract 135, Barnstable County, Massachusetts",903,217,870,221,0,12,0,12,0,12,0,12,33,52,0,12,0,12,0,12
1500000US250010136001,250010136001,"Block Group 1, Census Tract 136, Barnstable County, Massachusetts",2354,537,2287,534,0,12,0,12,0,12,0,12,67,103,0,12,0,12,0,12
1500000US250010136002,250010136002,"Block Group 2, Census Tract 136, Barnstable County, Massachusetts",3119,510,3089,502,0,12,0,12,0,12,0,12,7,14,23,34,0,12,23,34
1500000US250010136003,250010136003,"Block Group 3, Census Tract 136, Barnstable County, Massachusetts",927,276,927,276,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010137001,250010137001,"Block Group 1, Census Tract 137, Barnstable County, Massachusetts",1347,235,1339,233,0,12,0,12,0,12,0,12,0,12,8,13,0,12,8,13
1500000US250010137002,250010137002,"Block Group 2, Census Tract 137, Barnstable County, Massachusetts",900,257,852,246,0,12,0,12,0,12,0,12,0,12,48,68,5,11,43,67
1500000US250010137003,250010137003,"Block Group 3, Census Tract 137, Barnstable County, Massachusetts",896,189,896,189,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010137004,250010137004,"Block Group 4, Census Tract 137, Barnstable County, Massachusetts",1460,372,1135,380,194,171,0,12,61,63,0,12,1,2,69,53,0,12,69,53
1500000US250010138001,250010138001,"Block Group 1, Census Tract 138, Barnstable County, Massachusetts",2940,357,2692,330,123,153,0,12,17,30,0,12,7,11,101,106,0,12,101,106
1500000US250010138002,250010138002,"Block Group 2, Census Tract 138, Barnstable County, Massachusetts",1181,284,1077,292,0,12,0,12,77,110,0,12,0,12,27,44,0,12,27,44
1500000US250010138003,250010138003,"Block Group 3, Census Tract 138, Barnstable County, Massachusetts",799,388,553,276,12,17,0,12,68,104,0,12,111,160,55,75,0,12,55,75
1500000US250010139001,250010139001,"Block Group 1, Census Tract 139, Barnstable County, Massachusetts",458,215,458,215,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010139002,250010139002,"Block Group 2, Census Tract 139, Barnstable County, Massachusetts",1446,451,1337,430,0,12,0,12,0,12,0,12,0,12,109,144,23,36,86,138
1500000US250010139003,250010139003,"Block Group 3, Census Tract 139, Barnstable County, Massachusetts",2122,550,1811,472,53,69,0,12,0,12,0,12,0,12,258,360,258,360,0,12
1500000US250010139004,250010139004,"Block Group 4, Census Tract 139, Barnstable County, Massachusetts",1268,337,1268,337,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010140021,250010140021,"Block Group 1, Census Tract 140.02, Barnstable County, Massachusetts",621,166,621,166,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250010140022,250010140022,"Block Group 2, Census Tract 140.02, Barnstable County, Massachusetts",1990,237,1864,243,59,42,0,12,0,12,0,12,39,46,28,43,0,12,28,43
1500000US250010140023,250010140023,"Block Group 3, Census Tract 140.02, Barnstable County, Massachusetts",780,224,755,221,0,12,0,12,25,35,0,12,0,12,0,12,0,12,0,12
1500000US250010140024,250010140024,"Block Group 4, Census Tract 140.02, Barnstable County, Massachusetts",743,314,634,304,53,62,0,12,0,12,0,12,41,59,15,34,0,12,15,34
1500000US250010141001,250010141001,"Block Group 1, Census Tract 141, Barnstable County, Massachusetts",881,185,782,168,31,36,0,12,19,31,0,12,38,36,11,13,4,8,7,9
